phase,threads,time,grind_proc,grind_tot
1,1,40.15,1.5957027,1.5957027
1,2,23.64,0.93951109,0.93951109
1,3,17.24,0.68522075,0.68522075
1,4,14.57,0.57888682,0.57888682
1,5,12.75,0.50677825,0.50677825
1,6,12.56,0.49895863,0.49895863
1,7,10.51,0.41781613,0.41781613
1,8,9.98,0.39679109,0.39679109
1,9,9.59,0.38095537,0.38095537
1,10,9.36,0.37180476,0.37180476
1,11,10.22,0.40621722,0.40621722
1,12,12.04,0.47834549,0.47834549
1,13,8.70,0.34568336,0.34568336
1,14,8.87,0.35241838,0.35241838
1,15,11.57,0.45991738,0.45991738
1,16,11.22,0.44607256,0.44607256
2,1,35.20,1.3986434,1.3986434
2,2,22.33,0.88742263,0.88742263
2,3,16.53,0.65692457,0.65692457
2,4,13.83,0.54962275,0.54962275
2,5,11.94,0.47449177,0.47449177
2,6,11.32,0.45003735,0.45003735
2,7,10.57,0.41999988,0.41999988
2,8,9.92,0.39403855,0.39403855
2,9,9.37,0.37219909,0.37219909
2,10,9.51,0.37794564,0.37794564
2,11,9.01,0.35808699,0.35808699
2,12,9.04,0.35916373,0.35916373
2,13,8.78,0.34880261,0.34880261
2,14,8.61,0.34219858,0.34219858
2,15,8.73,0.34701129,0.34701129
2,16,8.82,0.35052917,0.35052917
2,17,10.06,0.39965129,0.39965129
2,18,8.39,0.3332475,0.3332475
2,19,9.14,0.36333695,0.36333695
2,20,8.73,0.34678175,0.34678175
2,21,8.50,0.33762621,0.33762621
2,22,9.59,0.38125453,0.38125453
2,23,9.75,0.38747258,0.38747258
2,24,9.62,0.38246718,0.38246718
2,25,9.51,0.37794623,0.37794623
2,26,10.20,0.4052655,0.4052655
2,27,12.70,0.50485714,0.50485714
2,28,13.83,0.54949873,0.54949873
