phase,threads,processes,time,grind_proc,grind_tot
1,1,1,39.92,1.5864089,1.5864089
1,2,1,23.79,0.94526868,0.94526868
1,3,1,16.67,0.66259582,0.66259582
1,4,1,13.22,0.52539323,0.52539323
1,5,1,11.14,0.44265474,0.44265474
1,6,1,9.75,0.38735861,0.38735861
1,7,1,8.78,0.34875831,0.34875831
1,8,1,8.09,0.32146125,0.32146125
1,9,1,9.25,0.36763595,0.36763595
1,10,1,7.86,0.31253553,0.31253553
1,11,1,7.57,0.30090864,0.30090864
1,12,1,7.48,0.29738201,0.29738201
1,13,1,7.32,0.29087617,0.29087617
1,14,1,7.36,0.29266746,0.29266746
1,15,1,7.26,0.28860714,0.28860714
1,16,1,7.28,0.28943081,0.28943081
1,1,8,93.54,1.7057446,0.21321807
1,2,8,60.96,1.1116712,0.13895889
2,1,1,34.73,1.3799905,1.3799905
2,2,1,21.20,0.8424822,0.8424822
2,3,1,15.03,0.59710685,0.59710685
2,4,1,11.97,0.47583353,0.47583353
2,5,1,11.05,0.43911243,0.43911243
2,6,1,8.94,0.35507328,0.35507328
2,7,1,8.08,0.32128994,0.32128994
2,8,1,7.94,0.31572743,0.31572743
2,9,1,7.59,0.30164446,0.30164446
2,10,1,7.14,0.28382927,0.28382927
2,11,1,6.76,0.26868296,0.26868296
2,12,1,6.55,0.26029005,0.26029005
2,13,1,6.42,0.2552395,0.2552395
2,14,1,6.33,0.25149932,0.25149932
2,15,1,6.55,0.26013126,0.26013126
2,16,1,6.55,0.26045017,0.26045017
2,17,1,6.83,0.27149276,0.27149276
2,18,1,6.90,0.2741313,0.2741313
2,19,1,6.92,0.27517764,0.27517764
2,20,1,6.87,0.27315737,0.27315737
2,21,1,6.90,0.2742858,0.2742858
2,22,1,7.45,0.29618384,0.29618384
2,23,1,7.62,0.30271853,0.30271853
2,24,1,7.85,0.31194003,0.31194003
2,25,1,10.79,0.42866615,0.42866615
2,26,1,8.23,0.32711683,0.32711683
2,27,1,8.90,0.3537144,0.3537144
2,28,1,14.60,0.58030726,0.58030726
2,1,8,78.65,1.4341988,0.17927484
2,2,8,49.16,0.8964635,0.11205794
2,3,8,35.91,0.65492315,0.081865394
2,1,27,131.29,1.5461314,0.057264124
